NC,Bezeichnung,NUF,bezeichnung_no_special_ch,concat_text
111,wohnräume,NUF_1,wohnraume,wohnräume | wohnraume
13222,wandelhalle mit rlt 1,NUF_1,wandelhalle mit rlt 1,wandelhalle mit rlt 1 | wandelhalle mit rlt 1
133,ruheräume,NUF_1,ruheraume,ruheräume | ruheraume
13311,ruheraum,NUF_1,ruheraum,ruheraum | ruheraum
13312,ruheraum mit waschtisch,NUF_1,ruheraum mit waschtisch,ruheraum mit waschtisch | ruheraum mit waschtisch
13313,ruheraum mit rlt 1,NUF_1,ruheraum mit rlt 1,ruheraum mit rlt 1 | ruheraum mit rlt 1
13314,ruheraum mit waschtisch und rlt 1,NUF_1,ruheraum mit waschtisch und rlt 1,ruheraum mit waschtisch und rlt 1 | ruheraum mit waschtisch und rlt 1
13321,patientenruheraum,NUF_1,patientenruheraum,patientenruheraum | patientenruheraum
13322,patientenruheraum mit rlt 1,NUF_1,patientenruheraum mit rlt 1,patientenruheraum mit rlt 1 | patientenruheraum mit rlt 1
141,warteräume/ warteflächen,NUF_1,warteraume/ warteflachen,warteräume/ warteflächen | warteraume/ warteflachen
14111,warteraum/ wartefläche,NUF_1,warteraum/ warteflache,warteraum/ wartefläche | warteraum/ warteflache
14112,warteraum/ wartefläche mit rlt 1,NUF_1,warteraum/ warteflache mit rlt 1,warteraum/ wartefläche mit rlt 1 | warteraum/ warteflache mit rlt 1
14113,warteraum/ wartefläche mit bes. bauk./ tech. anf.,NUF_1,warteraum/ warteflache mit bes. bauk./ tech. anf.,warteraum/ wartefläche mit bes. bauk./ tech. anf. | warteraum/ warteflache mit bes. bauk./ tech. anf.
14114,warteraum/ wartefläche mit bes. bauk./ tech. anf. und rlt 1,NUF_1,warteraum/ warteflache mit bes. bauk./ tech. anf. und rlt 1,warteraum/ wartefläche mit bes. bauk./ tech. anf. und rlt 1 | warteraum/ warteflache mit bes. bauk./ tech. anf. und rlt 1
14115,warteraum/ wartefläche mit bes. bauk./ tech. anf. und rlt 2,NUF_1,warteraum/ warteflache mit bes. bauk./ tech. anf. und rlt 2,warteraum/ wartefläche mit bes. bauk./ tech. anf. und rlt 2 | warteraum/ warteflache mit bes. bauk./ tech. anf. und rlt 2
142,wartehallen,NUF_1,wartehallen,wartehallen | wartehallen
14211,wartehalle,NUF_1,wartehalle,wartehalle | wartehalle
14212,wartehalle mit rlt 1,NUF_1,wartehalle mit rlt 1,wartehalle mit rlt 1 | wartehalle mit rlt 1
14213,wartehalle mit bes. bauk./ tech. anf.,NUF_1,wartehalle mit bes. bauk./ tech. anf.,wartehalle mit bes. bauk./ tech. anf. | wartehalle mit bes. bauk./ tech. anf.
14214,wartehalle mit bes. bauk./ tech. anf. und rlt 1,NUF_1,wartehalle mit bes. bauk./ tech. anf. und rlt 1,wartehalle mit bes. bauk./ tech. anf. und rlt 1 | wartehalle mit bes. bauk./ tech. anf. und rlt 1
14215,wartehalle mit bes. bauk./ tech. anf. und rlt 2,NUF_1,wartehalle mit bes. bauk./ tech. anf. und rlt 2,wartehalle mit bes. bauk./ tech. anf. und rlt 2 | wartehalle mit bes. bauk./ tech. anf. und rlt 2
151,speiseräume/ speisesaal,NUF_1,speiseraume/ speisesaal,speiseräume/ speisesaal | speiseraume/ speisesaal
15111,speiseraum,NUF_1,speiseraum,speiseraum | speiseraum
15112,speiseraum mit rlt 1,NUF_1,speiseraum mit rlt 1,speiseraum mit rlt 1 | speiseraum mit rlt 1
15121,speisesaal,NUF_1,speisesaal,speisesaal | speisesaal
15122,speisesaal mit rlt 1,NUF_1,speisesaal mit rlt 1,speisesaal mit rlt 1 | speisesaal mit rlt 1
152,cafeteria,NUF_1,cafeteria,cafeteria | cafeteria
15211,cafeteria,NUF_1,cafeteria,cafeteria | cafeteria
15212,cafeteria mit rlt 1,NUF_1,cafeteria mit rlt 1,cafeteria mit rlt 1 | cafeteria mit rlt 1
161,einzel-/ gruppenhafträume,NUF_1,einzel-/ gruppenhaftraume,einzel-/ gruppenhafträume | einzel-/ gruppenhaftraume
16111,einzelhaftraum,NUF_1,einzelhaftraum,einzelhaftraum | einzelhaftraum
16112,einzelhaftraum mit rlt 1,NUF_1,einzelhaftraum mit rlt 1,einzelhaftraum mit rlt 1 | einzelhaftraum mit rlt 1
16113,haftraum besonders gesichert mit rlt 3,NUF_1,haftraum besonders gesichert mit rlt 3,haftraum besonders gesichert mit rlt 3 | haftraum besonders gesichert mit rlt 3
16121,gemeinschaftshaftraum,NUF_1,gemeinschaftshaftraum,gemeinschaftshaftraum | gemeinschaftshaftraum
16122,gemeinschaftshaftraum mit rlt 1,NUF_1,gemeinschaftshaftraum mit rlt 1,gemeinschaftshaftraum mit rlt 1 | gemeinschaftshaftraum mit rlt 1
16131,verwahrraum mit rlt 1,NUF_1,verwahrraum mit rlt 1,verwahrraum mit rlt 1 | verwahrraum mit rlt 1
16132,ausnüchterungszelle mit rlt 3,NUF_1,ausnuchterungszelle mit rlt 3,ausnüchterungszelle mit rlt 3 | ausnuchterungszelle mit rlt 3
16133,haftsprechraum mit rlt 1,NUF_1,haftsprechraum mit rlt 1,haftsprechraum mit rlt 1 | haftsprechraum mit rlt 1
16134,vorraum für besonders gesicherten haftraum mit rlt 1,NUF_1,vorraum fur besonders gesicherten haftraum mit rlt 1,vorraum für besonders gesicherten haftraum mit rlt 1 | vorraum fur besonders gesicherten haftraum mit rlt 1
211,"allgem. büroräume, arbeitsplatzflächen",NUF_2,"allgem. buroraume, arbeitsplatzflachen","allgem. büroräume, arbeitsplatzflächen | allgem. buroraume, arbeitsplatzflachen"
21111,büroraum,NUF_2,buroraum,büroraum | buroraum
21112,büroraum mit rlt1,NUF_2,buroraum mit rlt1,büroraum mit rlt1 | buroraum mit rlt1
21113,einzelarbeitsplatzfläche,NUF_2,einzelarbeitsplatzflache,einzelarbeitsplatzfläche | einzelarbeitsplatzflache
21114,einzelarbeitsplatzfläche mit rlt 1,NUF_2,einzelarbeitsplatzflache mit rlt 1,einzelarbeitsplatzfläche mit rlt 1 | einzelarbeitsplatzflache mit rlt 1
21115,büro im küchenbereich mit rlt 1,NUF_2,buro im kuchenbereich mit rlt 1,büro im küchenbereich mit rlt 1 | buro im kuchenbereich mit rlt 1
21121,büro mit sicherheitsanforderungen und rlt 2,NUF_2,buro mit sicherheitsanforderungen und rlt 2,büro mit sicherheitsanforderungen und rlt 2 | buro mit sicherheitsanforderungen und rlt 2
21122,büro mit besonderen sicherheitsanforderungen und rlt 2,NUF_2,buro mit besonderen sicherheitsanforderungen und rlt 2,büro mit besonderen sicherheitsanforderungen und rlt 2 | buro mit besonderen sicherheitsanforderungen und rlt 2
212,"büroräume/ diensträume, fläche für spezielle arbeitsplätze",NUF_2,"buroraume/ dienstraume, flache fur spezielle arbeitsplatze","büroräume/ diensträume, fläche für spezielle arbeitsplätze | buroraume/ dienstraume, flache fur spezielle arbeitsplatze"
21211,schreibdienst,NUF_2,schreibdienst,schreibdienst | schreibdienst
21212,sekretariat,NUF_2,sekretariat,sekretariat | sekretariat
21213,büroraum mit manuellem/ experimentellem arbeitsplatz,NUF_2,buroraum mit manuellem/ experimentellem arbeitsplatz,büroraum mit manuellem/ experimentellem arbeitsplatz | buroraum mit manuellem/ experimentellem arbeitsplatz
21214,büroraum mit manuellem/ experimentellem arbeitsplatz und rlt 1,NUF_2,buroraum mit manuellem/ experimentellem arbeitsplatz und rlt 1,büroraum mit manuellem/ experimentellem arbeitsplatz und rlt 1 | buroraum mit manuellem/ experimentellem arbeitsplatz und rlt 1
21215,büroraum mit archivfunktion,NUF_2,buroraum mit archivfunktion,büroraum mit archivfunktion | buroraum mit archivfunktion
21216,büroraum mit archivfunktion und rlt 1,NUF_2,buroraum mit archivfunktion und rlt 1,büroraum mit archivfunktion und rlt 1 | buroraum mit archivfunktion und rlt 1
21217,büroraum mit materialausgabe,NUF_2,buroraum mit materialausgabe,büroraum mit materialausgabe | buroraum mit materialausgabe
21218,büroraum mit materialausgabe und rlt 1,NUF_2,buroraum mit materialausgabe und rlt 1,büroraum mit materialausgabe und rlt 1 | buroraum mit materialausgabe und rlt 1
21219,dolmetscherraum/-kabine mit rlt 1,NUF_2,dolmetscherraum/-kabine mit rlt 1,dolmetscherraum/-kabine mit rlt 1 | dolmetscherraum/-kabine mit rlt 1
21221,funkzentrale mit rlt 2,NUF_2,funkzentrale mit rlt 2,funkzentrale mit rlt 2 | funkzentrale mit rlt 2
21222,einsatzzentrale,NUF_2,einsatzzentrale,einsatzzentrale | einsatzzentrale
21223,einsatzzentrale mit rlt 1,NUF_2,einsatzzentrale mit rlt 1,einsatzzentrale mit rlt 1 | einsatzzentrale mit rlt 1
21224,einsatzzentrale gesichert mit rlt 2,NUF_2,einsatzzentrale gesichert mit rlt 2,einsatzzentrale gesichert mit rlt 2 | einsatzzentrale gesichert mit rlt 2
21225,einsatzzentrale mit hygienischen anforderungen,NUF_2,einsatzzentrale mit hygienischen anforderungen,einsatzzentrale mit hygienischen anforderungen | einsatzzentrale mit hygienischen anforderungen
21226,einsatzzentrale mit hygienischen anf. und rlt 1,NUF_2,einsatzzentrale mit hygienischen anf. und rlt 1,einsatzzentrale mit hygienischen anf. und rlt 1 | einsatzzentrale mit hygienischen anf. und rlt 1
21227,einsatzzentrale mit hygienischen anf. und rlt2,NUF_2,einsatzzentrale mit hygienischen anf. und rlt2,einsatzzentrale mit hygienischen anf. und rlt2 | einsatzzentrale mit hygienischen anf. und rlt2
213,telekommunikationsräume,NUF_2,telekommunikationsraume,telekommunikationsräume | telekommunikationsraume
21311,fernsprechraum/-kabine,NUF_2,fernsprechraum/-kabine,fernsprechraum/-kabine | fernsprechraum/-kabine
21312,fernsprechvermittlungsraum,NUF_2,fernsprechvermittlungsraum,fernsprechvermittlungsraum | fernsprechvermittlungsraum
21313,fernsprechvermittlungsraum mit rlt 1,NUF_2,fernsprechvermittlungsraum mit rlt 1,fernsprechvermittlungsraum mit rlt 1 | fernsprechvermittlungsraum mit rlt 1
21314,krypto raum / datenübertragung verschlüsselt mit rlt 2,NUF_2,krypto raum / datenubertragung verschlusselt mit rlt 2,krypto raum / datenübertragung verschlüsselt mit rlt 2 | krypto raum / datenubertragung verschlusselt mit rlt 2
221,allgem. großraumbüro,NUF_2,allgem. grossraumburo,allgem. großraumbüro | allgem. grossraumburo
22111,großraumbüro,NUF_2,grossraumburo,großraumbüro | grossraumburo
22112,großraumbüro mit rlt 1,NUF_2,grossraumburo mit rlt 1,großraumbüro mit rlt 1 | grossraumburo mit rlt 1
22113,großraumbüro mit schalter und rlt 2,NUF_2,grossraumburo mit schalter und rlt 2,großraumbüro mit schalter und rlt 2 | grossraumburo mit schalter und rlt 2
231,sitzungsräume,NUF_2,sitzungsraume,sitzungsräume | sitzungsraume
23111,konferenzraum,NUF_2,konferenzraum,konferenzraum | konferenzraum
23112,konferenzraum mit bes. tech. anf. und rlt 1,NUF_2,konferenzraum mit bes. tech. anf. und rlt 1,konferenzraum mit bes. tech. anf. und rlt 1 | konferenzraum mit bes. tech. anf. und rlt 1
23121,gerichtssaal,NUF_2,gerichtssaal,gerichtssaal | gerichtssaal
23122,gerichtssaal mit rlt 1,NUF_2,gerichtssaal mit rlt 1,gerichtssaal mit rlt 1 | gerichtssaal mit rlt 1
23123,parlamentssaal mit rlt 3,NUF_2,parlamentssaal mit rlt 3,parlamentssaal mit rlt 3 | parlamentssaal mit rlt 3
232,besprechungsräume/ -flächen,NUF_2,besprechungsraume/ -flachen,besprechungsräume/ -flächen | besprechungsraume/ -flachen
23211,besprechungsraum/ kommunikationsfläche,NUF_2,besprechungsraum/ kommunikationsflache,besprechungsraum/ kommunikationsfläche | besprechungsraum/ kommunikationsflache
23212,besprechungsraum mit rlt 1,NUF_2,besprechungsraum mit rlt 1,besprechungsraum mit rlt 1 | besprechungsraum mit rlt 1
23221,besprechungsraum mit sicherheitsanforderungen und rlt 2,NUF_2,besprechungsraum mit sicherheitsanforderungen und rlt 2,besprechungsraum mit sicherheitsanforderungen und rlt 2 | besprechungsraum mit sicherheitsanforderungen und rlt 2
23231,sprechzimmer,NUF_2,sprechzimmer,sprechzimmer | sprechzimmer
23232,sprechzimmer mit rlt 1,NUF_2,sprechzimmer mit rlt 1,sprechzimmer mit rlt 1 | sprechzimmer mit rlt 1
23233,kindgerechter vernehmungsraum mit rlt 1,NUF_2,kindgerechter vernehmungsraum mit rlt 1,kindgerechter vernehmungsraum mit rlt 1 | kindgerechter vernehmungsraum mit rlt 1
241,zeichenräume,NUF_2,zeichenraume,zeichenräume | zeichenraume
24111,konstruktionsraum,NUF_2,konstruktionsraum,konstruktionsraum | konstruktionsraum
24112,konstruktionsraum mit rlt 1,NUF_2,konstruktionsraum mit rlt 1,konstruktionsraum mit rlt 1 | konstruktionsraum mit rlt 1
251,kassenräume,NUF_2,kassenraume,kassenräume | kassenraume
25111,zahlstelle/kassenraum,NUF_2,zahlstelle/kassenraum,zahlstelle/kassenraum | zahlstelle/kassenraum
25112,zahlstelle/kassenraum mit rlt 1,NUF_2,zahlstelle/kassenraum mit rlt 1,zahlstelle/kassenraum mit rlt 1 | zahlstelle/kassenraum mit rlt 1
25113,kartenschalter,NUF_2,kartenschalter,kartenschalter | kartenschalter
25114,kartenschalter mit rlt 1,NUF_2,kartenschalter mit rlt 1,kartenschalter mit rlt 1 | kartenschalter mit rlt 1
261,aufsichtsräume,NUF_2,aufsichtsraume,aufsichtsräume | aufsichtsraume
26111,aufsichtsraum,NUF_2,aufsichtsraum,aufsichtsraum | aufsichtsraum
26112,aufsichtsraum mit rlt 1,NUF_2,aufsichtsraum mit rlt 1,aufsichtsraum mit rlt 1 | aufsichtsraum mit rlt 1
26113,pförtnerraum,NUF_2,pfortnerraum,pförtnerraum | pfortnerraum
26114,pförtnerraum mit rlt 1,NUF_2,pfortnerraum mit rlt 1,pförtnerraum mit rlt 1 | pfortnerraum mit rlt 1
26115,wachraum mit rlt 2,NUF_2,wachraum mit rlt 2,wachraum mit rlt 2 | wachraum mit rlt 2
26121,aufsichtsraum mit überfallmeldeanlage und rlt 1,NUF_2,aufsichtsraum mit uberfallmeldeanlage und rlt 1,aufsichtsraum mit überfallmeldeanlage und rlt 1 | aufsichtsraum mit uberfallmeldeanlage und rlt 1
26122,pförtner/ wache mit rlt 2,NUF_2,pfortner/ wache mit rlt 2,pförtner/ wache mit rlt 2 | pfortner/ wache mit rlt 2
26123,haftaufsichtsraum mit rlt 2,NUF_2,haftaufsichtsraum mit rlt 2,haftaufsichtsraum mit rlt 2 | haftaufsichtsraum mit rlt 2
26211,patientenüberwachungsraum mit rlt 1,NUF_2,patientenuberwachungsraum mit rlt 1,patientenüberwachungsraum mit rlt 1 | patientenuberwachungsraum mit rlt 1
26212,patientenüberwachungsraum mit bes. anf. und rlt 3,NUF_2,patientenuberwachungsraum mit bes. anf. und rlt 3,patientenüberwachungsraum mit bes. anf. und rlt 3 | patientenuberwachungsraum mit bes. anf. und rlt 3
271,vervielfältigungsräume,NUF_2,vervielfaltigungsraume,vervielfältigungsräume | vervielfaltigungsraume
27111,fotokopierraum / druckerraum,NUF_2,fotokopierraum / druckerraum,fotokopierraum / druckerraum | fotokopierraum / druckerraum
27112,fotokopierraum / druckerraum mit rlt 1,NUF_2,fotokopierraum / druckerraum mit rlt 1,fotokopierraum / druckerraum mit rlt 1 | fotokopierraum / druckerraum mit rlt 1
27113,plotterraum,NUF_2,plotterraum,plotterraum | plotterraum
27114,plotterraum mit rlt 1,NUF_2,plotterraum mit rlt 1,plotterraum mit rlt 1 | plotterraum mit rlt 1
27115,rapid-prototyping (3d-drucker) mit rlt 1,NUF_2,rapid-prototyping (3d-drucker) mit rlt 1,rapid-prototyping (3d-drucker) mit rlt 1 | rapid-prototyping (3d-drucker) mit rlt 1
272,filmbearbeitungsräume,NUF_2,filmbearbeitungsraume,filmbearbeitungsräume | filmbearbeitungsraume
27211,filmbearbeitungs- / schneideraum mit rlt 1,NUF_2,filmbearbeitungs- / schneideraum mit rlt 1,filmbearbeitungs- / schneideraum mit rlt 1 | filmbearbeitungs- / schneideraum mit rlt 1
27212,filmmagazin-/-laderaum mit rlt 1,NUF_2,filmmagazin-/-laderaum mit rlt 1,filmmagazin-/-laderaum mit rlt 1 | filmmagazin-/-laderaum mit rlt 1
27213,dunkelkammer mit rlt 1,NUF_2,dunkelkammer mit rlt 1,dunkelkammer mit rlt 1 | dunkelkammer mit rlt 1
311,produktionhallen,NUF_3,produktionhallen,produktionhallen | produktionhallen
31111,produktionshalle für grundstoffe,NUF_3,produktionshalle fur grundstoffe,produktionshalle für grundstoffe | produktionshalle fur grundstoffe
31112,produktionshalle für investitions- und versorgungsgüter,NUF_3,produktionshalle fur investitions- und versorgungsguter,produktionshalle für investitions- und versorgungsgüter | produktionshalle fur investitions- und versorgungsguter
31113,produktionshalle für nahrungs- und genußmittel,NUF_3,produktionshalle fur nahrungs- und genussmittel,produktionshalle für nahrungs- und genußmittel | produktionshalle fur nahrungs- und genussmittel
312,instandsetzungs-/ wartungshallen,NUF_3,instandsetzungs-/ wartungshallen,instandsetzungs-/ wartungshallen | instandsetzungs-/ wartungshallen
31211,instandsetzungs-/ wartungshalle,NUF_3,instandsetzungs-/ wartungshalle,instandsetzungs-/ wartungshalle | instandsetzungs-/ wartungshalle
313,forschungs- und entwicklungshalle für ingenieuwissenschaften,NUF_3,forschungs- und entwicklungshalle fur ingenieuwissenschaften,forschungs- und entwicklungshalle für ingenieuwissenschaften | forschungs- und entwicklungshalle fur ingenieuwissenschaften
31311,technologische versuchshalle mit rlt 2,NUF_3,technologische versuchshalle mit rlt 2,technologische versuchshalle mit rlt 2 | technologische versuchshalle mit rlt 2
314,versuchs-/ experimentierhallen für naturwissenschaften,NUF_3,versuchs-/ experimentierhallen fur naturwissenschaften,versuchs-/ experimentierhallen für naturwissenschaften | versuchs-/ experimentierhallen fur naturwissenschaften
31411,halle für physikalische versuche mit rlt 2,NUF_3,halle fur physikalische versuche mit rlt 2,halle für physikalische versuche mit rlt 2 | halle fur physikalische versuche mit rlt 2
31421,halle für chemische versuche mit rlt2,NUF_3,halle fur chemische versuche mit rlt2,halle für chemische versuche mit rlt2 | halle fur chemische versuche mit rlt2
315,versuchs-/ experimentierhallen mit reinraumklassifizierung,NUF_3,versuchs-/ experimentierhallen mit reinraumklassifizierung,versuchs-/ experimentierhallen mit reinraumklassifizierung | versuchs-/ experimentierhallen mit reinraumklassifizierung
31511,reinraumklasse bis 100000,NUF_3,reinraumklasse bis 100000,reinraumklasse bis 100000 | reinraumklasse bis 100000
31512,reinraumklasse bis 10000,NUF_3,reinraumklasse bis 10000,reinraumklasse bis 10000 | reinraumklasse bis 10000
31513,reinraumklasse bis 1000,NUF_3,reinraumklasse bis 1000,reinraumklasse bis 1000 | reinraumklasse bis 1000
31514,reinraumklasse bis 100,NUF_3,reinraumklasse bis 100,reinraumklasse bis 100 | reinraumklasse bis 100
31515,reinraumklasse bis 10,NUF_3,reinraumklasse bis 10,reinraumklasse bis 10 | reinraumklasse bis 10
319,sonderversuchshalle,NUF_3,sonderversuchshalle,sonderversuchshalle | sonderversuchshalle
31911,sonderversuchshalle,NUF_3,sonderversuchshalle,sonderversuchshalle | sonderversuchshalle
321,produktion,NUF_3,produktion,produktion | produktion
32111,"blechbearbeitung, montage-, stahlbau",NUF_3,"blechbearbeitung, montage-, stahlbau","blechbearbeitung, montage-, stahlbau | blechbearbeitung, montage-, stahlbau"
32112,"schlosserei, härterei, schmiede",NUF_3,"schlosserei, harterei, schmiede","schlosserei, härterei, schmiede | schlosserei, harterei, schmiede"
32113,"gießerei, schweißerei",NUF_3,"giesserei, schweisserei","gießerei, schweißerei | giesserei, schweisserei"
32114,werkstatt metall (fein),NUF_3,werkstatt metall (fein),werkstatt metall (fein) | werkstatt metall (fein)
32115,werkstatt metall (fein) mit fest eingebauten einrichtungen,NUF_3,werkstatt metall (fein) mit fest eingebauten einrichtungen,werkstatt metall (fein) mit fest eingebauten einrichtungen | werkstatt metall (fein) mit fest eingebauten einrichtungen
32116,laser-schneide-werkstatt,NUF_3,laser-schneide-werkstatt,laser-schneide-werkstatt | laser-schneide-werkstatt
32121,werkstatt elektrotechnik,NUF_3,werkstatt elektrotechnik,werkstatt elektrotechnik | werkstatt elektrotechnik
32131,werkstatt oberflächenbehandlung,NUF_3,werkstatt oberflachenbehandlung,werkstatt oberflächenbehandlung | werkstatt oberflachenbehandlung
32132,werkstatt oberflächenbehandlung mit sonderabsaugung,NUF_3,werkstatt oberflachenbehandlung mit sonderabsaugung,werkstatt oberflächenbehandlung mit sonderabsaugung | werkstatt oberflachenbehandlung mit sonderabsaugung
32141,werkstatt holz/ kunststoff,NUF_3,werkstatt holz/ kunststoff,werkstatt holz/ kunststoff | werkstatt holz/ kunststoff
32142,werkstatt holz/ kunststoff mit sonderabsaugung,NUF_3,werkstatt holz/ kunststoff mit sonderabsaugung,werkstatt holz/ kunststoff mit sonderabsaugung | werkstatt holz/ kunststoff mit sonderabsaugung
324,räume für gesundheits- und körperpflege,NUF_3,raume fur gesundheits- und korperpflege,räume für gesundheits- und körperpflege | raume fur gesundheits- und korperpflege
32411,frisör-/ kosmetikarbeitsraum,NUF_3,frisor-/ kosmetikarbeitsraum,frisör-/ kosmetikarbeitsraum | frisor-/ kosmetikarbeitsraum
32421,prothetische / dental-werkstatt mit sonderabsaugung,NUF_3,prothetische / dental-werkstatt mit sonderabsaugung,prothetische / dental-werkstatt mit sonderabsaugung | prothetische / dental-werkstatt mit sonderabsaugung
325,wartungsstationen/ instandsetzung,NUF_3,wartungsstationen/ instandsetzung,wartungsstationen/ instandsetzung | wartungsstationen/ instandsetzung
32511,kfz-werkstatt mit sonderabsaugung,NUF_3,kfz-werkstatt mit sonderabsaugung,kfz-werkstatt mit sonderabsaugung | kfz-werkstatt mit sonderabsaugung
32521,hausmeisterwerkstatt,NUF_3,hausmeisterwerkstatt,hausmeisterwerkstatt | hausmeisterwerkstatt
32522,kfz-waschhalle,NUF_3,kfz-waschhalle,kfz-waschhalle | kfz-waschhalle
